pl_name,hostname,default_flag,discoverymethod,disc_year,soltype,pl_orbper,pl_rade,sy_refname,rastr,ra,decstr,dec,sy_dist
55 Cnc e,55 Cnc,1,Radial Velocity,2004,Published Confirmed,0.73654740,1.875,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
BD+20 594 b,BD+20 594,1,Transit,2016,Published Confirmed,41.68550000,2.578,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000
BD-14 3065 b,BD-14 3065 A,1,Transit,2024,Published Confirmed,4.28897310,21.590,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,589.4230000
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,Imaging,2021,Published Confirmed,8040000.00000000,20.849,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h27m44.23s,246.9342770,-23d58m52.14s,-23.9811500,
COCONUTS-2 b,COCONUTS-2 A,1,Imaging,2021,Published Confirmed,402000000.00000000,12.442,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h49m12.22s,117.3009140,-76d42m09.71s,-76.7026960,10.8864000
CoRoT-1 b,CoRoT-1,1,Transit,2008,Published Confirmed,1.50895570,16.700,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.9090000
CoRoT-10 b,CoRoT-10,1,Transit,2010,Published Confirmed,13.24060000,10.870,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.3860000
CoRoT-11 b,CoRoT-11,1,Transit,2010,Published Confirmed,2.99433000,16.030,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.0370000
CoRoT-12 b,CoRoT-12,1,Transit,2010,Published Confirmed,2.82804200,16.140,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.3700000
CoRoT-13 b,CoRoT-13,1,Transit,2010,Published Confirmed,4.03519000,9.920,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.9300000
